Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
"Venser, Shaper Savant",24,25,7,U,4.0,Creature,0.6363636363636364,0.4897959183673469,1.0212584813708696
Sylvan Safekeeper,21,27,7,G,1.0,Creature,0.6363636363636364,0.4375,0.9233712273836304
Skullclamp,28,24,7,,1.0,Artifact,0.6363636363636364,0.5384615384615384,1.129611474266159
Deathrite Shaman,29,20,7,BG,1.0,Creature,0.6363636363636364,0.5918367346938775,1.2250245478511446
Shambling Vent,30,22,7,BW,0.0,Land,0.6363636363636364,0.5769230769230769,1.0812034386663827
Sneak Attack,24,28,7,R,4.0,Enchantment,0.6363636363636364,0.46153846153846156,0.9777483592935807
Cryptic Coat,43,24,10,U,3.0,Artifact,0.625,0.6417910447761194,1.1966870974447426
Warden of the Inner Sky,39,36,10,W,1.0,Creature,0.625,0.52,0.9716934999211467
Elite Spellbinder,36,35,10,W,3.0,Creature,0.625,0.5070422535211268,0.9501618179324781
Fiery Islet,29,36,10,RU,0.0,Land,0.625,0.4461538461538462,0.9441096104846455
Declaration in Stone,31,40,10,W,2.0,Sorcery,0.625,0.43661971830985913,0.8293914075968005
Shark Typhoon,41,26,10,U,6.0,Enchantment,0.625,0.6119402985074627,1.221767164312161
Soulherder,33,19,8,UW,3.0,Creature,0.6153846153846154,0.6346153846153846,1.1031907382675932
Raucous Theater,22,32,8,BR,0.0,Land,0.6153846153846154,0.4074074074074074,0.8068006631311798
